ID	post_title	post_name	year	month	day
2662	Program to find LCM of 2 Numbers	program-to-find-lcm-of-2-numbers	2022	1	1
2659	Program to find if Number is Divisibility by 2	program-to-find-if-number-is-divisibility-by-2	2022	1	1
2656	Program to find Even or Odd	program-to-find-even-or-odd	2022	1	1
2653	Planter	planter-2	2022	1	1
2649	Lenovo Laptop - Hinges Repair	lenovo-laptop-hinges-repair	2022	1	1
2645	Dell Laptop - OS Installation	dell-laptop-os-installation	2022	1	1
2641	Samsung M31 - Logo Stuck	samsung-m31-logo-stuck	2022	1	1
2637	Redmi 8 - Display Combo Replacement	redmi-8-display-combo-replacement	2022	1	1
2632	Samsung Galaxy A10 - Charging Port Replacement	samsung-galaxy-a10-charging-port-replacement	2021	12	31
2628	One Plus 6 - Display Combo Replacement	one-plus-6-display-combo-replacement	2021	12	31
2622	iPhone 6s - Display Glass Replacement	iphone-6s-display-glass-replacement-2	2021	12	31
2618	Mi Note 5 - Display Combo Replacement	mi-note-5-display-combo-replacement	2021	12	31
2614	iPhone 6s - Logo Stuck	iphone-6s-logo-stuck	2021	12	31
2601	Dell Laptop - Software Installation	dell-laptop-software-installation	2021	12	31
2597	HP Laptop - Hinges and Display Replacement	hp-laptop-hinges-and-display-replacement	2021	12	31
2594	Spider- Window Web	spider-window-web	2021	12	31
2591	Lowpoly Elephant	lowpoly-elephant	2021	12	31
2588	9V Battery Cap	9v-battery-cap	2021	12	31
2585	Air – Icon For Wall	air-icon-for-wall	2021	12	31
2582	Water - Icon For Wall	water-icon-for-wall	2021	12	31
2579	Soldering Wire Stand	soldering-wire-stand	2021	12	31
2573	iball Laptop - Hinges Repair	iball-laptop-hinges-repair	2021	12	29
2569	Vivo Y51L - Dead Condition	vivo-y51l-dead-condition	2021	12	29
2565	Oppo F17 - Display Glass Replacement	oppo-f17-display-glass-replacement	2021	12	29
2561	Redmi - Battery and Back Panel Replacement	redmi-battery-and-back-panel-replacement	2021	12	29
2556	Oppo F11 - Display Combo Replacement	oppo-f11-display-combo-replacement	2021	12	29
2551	Moto E Power - Dead Condition	moto-e-power-dead-condition	2021	12	29
2547	iPhone 6S Plus - iCloud Unlock	iphone-6s-plus-icloud-unlock	2021	12	29
2541	Samsung J8 - Display Combo Replacement	samsung-j8-display-combo-replacement	2021	12	29
2537	Redmi K20 - Back Panel Replacement	redmi-k20-back-panel-replacement	2021	12	29
2533	MacBook - Dead Condition	macbook-dead-condition	2021	12	29
